,description,boot_space
94,"The Citroen C5 X has a length of 4805 mm, a height of 1485 mm, a width of 1815 mm without the exterior mirrors and a measurement of 2062 millimeters with the mirrors unfolded. Motorization: petrol and  petrol plug-in hybrid. The plug-in hybrid model is called C5 X Hybrid and has a boot space of 485* liters. Because of its exterior size, we classify the Citroen C5 X in the category of executive cars.Do you like the trend of larger cars? 👍 👎",Boot space: 485* - 545 liters.
95,"The Kia Stinger has a length of 4830 mm, a height of 1400 mm and a width of 1870 mm without the exterior mirrors. Motorization: petrol. Because of its exterior size, we classify the Kia Stinger in the category of executive cars. This model from the year 2021 is the same size compared to the dimensions of the 2018 Kia Stinger.Do you like the trend of larger cars? 👍 👎",Boot space: 406 liters.
96,"The Renault Talisman has a length of 4849 mm, a height of 1463 mm, a width of 1868 mm without the exterior mirrors and a measurement of 2081 millimeters with the mirrors unfolded. Motorization: diesel and  petrol. Because of its exterior size, we classify the Renault Talisman in the category of executive cars. This model from the year 2020 is the same size compared to the dimensions of the 2016 Renault Talisman.Do you like the trend of larger cars? 👍 👎",Boot space: 608 liters.
97,"The Hyundai IONIQ 6 has a length of 4855 mm, a height of 1495 mm and a width of 1880 mm without the exterior mirrors. Motorization: electric. Because of its exterior size, we classify the Hyundai IONIQ 6 in the category of executive cars.Do you like the trend of larger cars? 👍 👎",Boot space: 446 liters.
98,"The Volkswagen Arteon has a length of 4862 mm, a height of 1450 mm, a width of 1871 mm without the exterior mirrors and a measurement of 2127 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  petrol plug-in hybrid. The plug-in hybrid model is called Arteon eHybrid and has a boot space of 445* liters. Because of its exterior size, we classify the Volkswagen Arteon in the category of executive cars. This model from the year 2021 is the same size compared to the dimensions of the 2017 Volkswagen Arteon.Do you like the trend of larger cars? 👍 👎",Boot space: 445* - 563 liters.
99,"The Mazda 6 has a length of 4870 mm, a height of 1450 mm and a width of 1840 mm without the exterior mirrors. Motorization: petrol. Because of its exterior size, we classify the Mazda 6 in the category of executive cars. This model from the year 2018 is the same size compared to the dimensions of the 2017 Mazda 6.Do you like the trend of larger cars? 👍 👎",Boot space: 480 liters.
100,"The Toyota Camry has a length of 4885 mm, a height of 1445 mm and a width of 1840 mm without the exterior mirrors. Motorization: petrol hybrid. Because of its exterior size, we classify the Toyota Camry in the category of executive cars. This model from the year 2021 is the same size compared to the dimensions of the 2019 Toyota Camry.Do you like the trend of larger cars? 👍 👎",Boot space: 524 liters.
101,"The Opel Insignia Grand Sport has a length of 4897 mm, a height of 1455 mm, a width of 1863 mm without the exterior mirrors and a measurement of 2093 millimeters with the mirrors unfolded. Motorization: diesel and  petrol. Because of its exterior size, we classify the Opel Insignia Grand Sport in the category of executive cars. This model from the year 2020 is the same size compared to the dimensions of the 2017 Opel Insignia Grand Sport.Do you like the trend of larger cars? 👍 👎",Boot space: 490 liters.
102,"The Skoda Superb has a length of 4912 mm, a height of 1481 mm and a width of 1849 mm without the exterior mirrors. Motorization: diesel,  petrol,  petrol mild hybrid and  petrol plug-in hybrid. Because of its exterior size, we classify the Skoda Superb in the category of executive cars. This new model is 43 mm longer, 15 mm narrower and 12 mm higher compared to the dimensions of the 2019 Skoda Superb.Do you like the trend of larger cars? 👍 👎",Boot space: 645 liters.
103,"The DS DS9 has a length of 4934 mm, a height of 1460 mm, a width of 1932 mm without the exterior mirrors and a measurement of 2079 millimeters with the mirrors unfolded. Motorization: petrol and  petrol plug-in hybrid. The plug-in hybrid model is called DS9 E-Tense. Because of its exterior size, we classify the DS DS9 in the category of executive cars.Do you like the trend of larger cars? 👍 👎",Boot space: 510 liters.
104,"The Audi A6 has a length of 4939 mm, a height of 1457 mm, a width of 1886 mm without the exterior mirrors and a measurement of 2110 millimeters with the mirrors unfolded. Motorization: diesel mild hybrid,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called A6 TFSIe and has a boot space of 360* liters. Because of its exterior size, we classify the Audi A6 in the category of executive cars. This model from the year 2018 is 6 mm longer, 12 mm wider and has the same height compared to the dimensions of the 2015 Audi A6.Do you like the trend of larger cars? 👍 👎",Boot space: 360* - 530 liters.
105,"The Mercedes-Benz EQE has a length of 4946 mm, a height of 1512 mm and a width of 1961 mm without the exterior mirrors. Motorization: electric. Because of its exterior size, we classify the Mercedes-Benz EQE in the category of executive cars.Do you like the trend of larger cars? 👍 👎",Boot space: 430 liters.
106,"The Mercedes-Benz E has a length of 4949 mm, a height of 1468 mm, a width of 1880 mm without the exterior mirrors and a measurement of 2065 millimeters with the mirrors unfolded. Motorization: diesel mild hybrid,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called E e and has a boot space of 370* liters. Because of its exterior size, we classify the Mercedes-Benz E in the category of executive cars. This model from the year 2023 is 14 mm longer, 28 mm wider and 8 mm higher compared to the dimensions of the 2020 Mercedes-Benz E.Do you like the trend of larger cars? 👍 👎",Boot space: 370* - 540 liters.
107,"The Volkswagen ID.7 has a length of 4961 mm, a height of 1538 mm and a width of 1862 mm without the exterior mirrors. Motorization: electric. Because of its exterior size, we classify the Volkswagen ID.7 in the category of executive cars.Do you like the trend of larger cars? 👍 👎",Boot space: 532 liters.
108,"The Jaguar XF has a length of 4962 mm, a height of 1456 mm, a width of 1890 mm without the exterior mirrors and a measurement of 2089 millimeters with the mirrors unfolded. Motorization: petrol and  diesel mild hybrid. Because of its exterior size, we classify the Jaguar XF in the category of executive cars. This model from the year 2021 is the same size compared to the dimensions of the 2016 Jaguar XF.Do you like the trend of larger cars? 👍 👎",Boot space: 344 liters.
109,"The Volvo S90 has a length of 4963 mm, a height of 1443 mm, a width of 1879 mm without the exterior mirrors and a measurement of 2019 millimeters with the mirrors unfolded. Motorization: diesel mild hybrid,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called S90 Recharge. Because of its exterior size, we classify the Volvo S90 in the category of executive cars. This model from the year 2020 is the same size compared to the dimensions of the 2016 Volvo S90.Do you like the trend of larger cars? 👍 👎",Boot space: 500 liters.
110,"The Porsche Taycan has a length of 4963 mm, a height of 1379 mm, a width of 1966 mm without the exterior mirrors and a measurement of 2144 millimeters with the mirrors unfolded. Motorization: electric. Because of its exterior size, we classify the Porsche Taycan in the category of executive cars. This new model is the same size compared to the dimensions of the 2020 Porsche Taycan.Do you like the trend of larger cars? 👍 👎",Boot space: 491 liters.
111,"The Tesla Model S has a length of 4970 mm, a height of 1445 mm, a width of 1964 mm without the exterior mirrors and a measurement of 2187 millimeters with the mirrors unfolded. Motorization: electric. Because of its exterior size, we classify the Tesla Model S in the category of executive cars. This model from the year 2021 is the same size compared to the dimensions of the 2016 Tesla Model S.Do you like the trend of larger cars? 👍 👎",Boot space: 793 liters.
112,"The Lexus ES has a length of 4975 mm, a height of 1445 mm, a width of 1865 mm without the exterior mirrors and a measurement of 2065 millimeters with the mirrors unfolded. Motorization: petrol hybrid. Because of its exterior size, we classify the Lexus ES in the category of executive cars. This model from the year 2022 is the same size compared to the dimensions of the 2019 Lexus ES.Do you like the trend of larger cars? 👍 👎",Boot space: 454 liters.
113,"The Toyota Mirai has a length of 4975 mm, a height of 1470 mm and a width of 1885 mm without the exterior mirrors. Motorization: hydrogen. Because of its exterior size, we classify the Toyota Mirai in the category of executive cars. This model from the year 2021  stands out for being 85 mm longer compared to the dimensions of the 2016 Toyota Mirai.Do you like the new generation size change? 👍 👎",Boot space: 321 liters.
114,"The Audi e-tron GT has a length of 4989 mm, a height of 1413 mm, a width of 1964 mm without the exterior mirrors and a measurement of 2158 millimeters with the mirrors unfolded. Motorization: electric. Because of its exterior size, we classify the Audi e-tron GT in the category of executive cars.Do you like the trend of larger cars? 👍 👎",Boot space: 490 liters.
115,"The BYD Han has a length of 4995 mm, a height of 1495 mm, a width of 1910 mm without the exterior mirrors and a measurement of 2134 millimeters with the mirrors unfolded. Motorization: electric. Because of its exterior size, we classify the BYD Han in the category of executive cars.Do you like the trend of larger cars? 👍 👎",Boot space: 410 liters.
116,"The BMW 5 has a length of 5060 mm, a height of 1515 mm, a width of 1900 mm without the exterior mirrors and a measurement of 2156 millimeters with the mirrors unfolded. Motorization: diesel mild hybrid,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called 5 e and has a boot space of 490* liters. Because of its exterior size, we classify the BMW 5 in the category of executive cars. This new model  stands out for being 97 mm longer compared to the dimensions of the 2020 BMW 5.Do you like the new generation size change? 👍 👎",Boot space: 490* - 520 liters.
117,"The BMW 8 Coupe has a length of 4851 mm, a height of 1346 mm, a width of 1902 mm without the exterior mirrors and a measurement of 2137 millimeters with the mirrors unfolded. Motorization: petrol and  diesel mild hybrid. Because of its exclusivity and high-end performance, we classify the BMW 8 Coupe in the category of luxury cars.Do you like the trend of larger cars? 👍 👎",Boot space: 420 liters.
118,"The Audi A7 Sportback has a length of 4969 mm, a height of 1422 mm, a width of 1908 mm without the exterior mirrors and a measurement of 2118 millimeters with the mirrors unfolded. Motorization: diesel mild hybrid,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called A7 Sportback TFSIe and has a boot space of 380* liters. Because of its exclusivity and high-end performance, we classify the Audi A7 Sportback in the category of luxury cars. This model from the year 2018 is the same size compared to the dimensions of the 2014 Audi A7 Sportback.Do you like the trend of larger cars? 👍 👎",Boot space: 380* - 535 liters.
119,"The Maserati Ghibli has a length of 4971 mm, a height of 1461 mm, a width of 1945 mm without the exterior mirrors and a measurement of 2100 millimeters with the mirrors unfolded. Motorization: petrol and  petrol mild hybrid. Because of its exclusivity and high-end performance, we classify the Maserati Ghibli in the category of luxury cars. This model from the year 2021 is the same size compared to the dimensions of the 2017 Maserati Ghibli.Do you like the trend of larger cars? 👍 👎",Boot space: 500 liters.
120,"The Mercedes-Benz CLS Coupé has a length of 4988 mm, a height of 1435 mm, a width of 1890 mm without the exterior mirrors and a measurement of 2069 millimeters with the mirrors unfolded. Motorization: diesel,  petrol,  diesel mild hybrid and  petrol mild hybrid. Because of its exclusivity and high-end performance, we classify the Mercedes-Benz CLS Coupé in the category of luxury cars. This model from the year 2021 is the same size compared to the dimensions of the 2018 Mercedes-Benz CLS Coupé.Do you like the trend of larger cars? 👍 👎",Boot space: 520 liters.
121,"The Porsche Panamera has a length of 5049 mm, a height of 1423 mm, a width of 1937 mm without the exterior mirrors and a measurement of 2165 millimeters with the mirrors unfolded. Motorization: petrol and  petrol plug-in hybrid. The plug-in hybrid model is called Panamera E-Hybrid and has a boot space of 403* liters. Because of its exclusivity and high-end performance, we classify the Porsche Panamera in the category of luxury cars. This model from the year 2021 is the same size compared to the dimensions of the 2017 Porsche Panamera.Do you like the trend of larger cars? 👍 👎",Boot space: 403* - 495 liters.
122,"The Porsche Panamera has a length of 5049 mm, a height of 1423 mm, a width of 1937 mm without the exterior mirrors and a measurement of 2165 millimeters with the mirrors unfolded. Motorization: petrol and  petrol plug-in hybrid. The plug-in hybrid model is called Panamera E-Hybrid and has a boot space of 403* liters. Because of its exclusivity and high-end performance, we classify the Porsche Panamera in the category of luxury cars. This model from the year 2021 is the same size compared to the dimensions of the 2017 Porsche Panamera.Do you like the trend of larger cars? 👍 👎",Boot space: 403* - 495 liters.
123,"The BMW 8 Gran Coupe has a length of 5082 mm, a height of 1407 mm, a width of 1932 mm without the exterior mirrors and a measurement of 2137 millimeters with the mirrors unfolded. Motorization: petrol and  diesel mild hybrid. Because of its exclusivity and high-end performance, we classify the BMW 8 Gran Coupe in the category of luxury cars.Do you like the trend of larger cars? 👍 👎",Boot space: 440 liters.
124,"The Jaguar XJ has a length of 5130 mm, a height of 1460 mm, a width of 1899 mm without the exterior mirrors and a measurement of 2105 millimeters with the mirrors unfolded. Motorization: diesel. Because of its exclusivity and high-end performance, we classify the Jaguar XJ in the category of luxury cars. This model from the year 2015 is the same size compared to the dimensions of the 2010 Jaguar XJ.Do you like the trend of larger cars? 👍 👎",Boot space: 478 liters.
125,"The Mercedes-Benz S has a length of 5179 mm, a height of 1503 mm, a width of 1954 mm without the exterior mirrors and a measurement of 2109 millimeters with the mirrors unfolded. Motorization: diesel,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called S e and has a boot space of 350* liters. Because of its exclusivity and high-end performance, we classify the Mercedes-Benz S in the category of luxury cars. This model from the year 2021 is 54 mm longer, 55 mm wider and 10 mm higher compared to the dimensions of the 2017 Mercedes-Benz S.Do you like the new generation size change? 👍 👎",Boot space: 350* - 550 liters.
126,"The Audi A8 has a length of 5190 mm, a height of 1473 mm, a width of 1945 mm without the exterior mirrors and a measurement of 2130 millimeters with the mirrors unfolded. Motorization: diesel mild hybrid,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called A8 TFSIe and has a boot space of 390* liters. Because of its exclusivity and high-end performance, we classify the Audi A8 in the category of luxury cars. This model from the year 2022 is the same size compared to the dimensions of the 2018 Audi A8.Do you like the trend of larger cars? 👍 👎",Boot space: 390* - 505 liters.
127,"The Mercedes-Benz EQS has a length of 5216 mm, a height of 1512 mm and a width of 1926 mm without the exterior mirrors. Motorization: electric. Because of its exclusivity and high-end performance, we classify the Mercedes-Benz EQS in the category of luxury cars.Do you like the trend of larger cars? 👍 👎",Boot space: 610 liters.
128,"The Lexus LS has a length of 5235 mm, a height of 1460 mm, a width of 1900 mm without the exterior mirrors and a measurement of 2160 millimeters with the mirrors unfolded. Motorization: petrol hybrid. Because of its exclusivity and high-end performance, we classify the Lexus LS in the category of luxury cars. This model from the year 2021 is the same size compared to the dimensions of the 2018 Lexus LS.Do you like the trend of larger cars? 👍 👎",Boot space: 430 liters.
129,"The Maserati Quattroporte has a length of 5262 mm, a height of 1481 mm, a width of 1948 mm without the exterior mirrors and a measurement of 2100 millimeters with the mirrors unfolded. Motorization: petrol. Because of its exclusivity and high-end performance, we classify the Maserati Quattroporte in the category of luxury cars. This model from the year 2021 is the same size compared to the dimensions of the 2016 Maserati Quattroporte.Do you like the trend of larger cars? 👍 👎",Boot space: 530 liters.
130,"The Bentley Flying Spur has a length of 5316 mm, a height of 1484 mm, a width of 1978 mm without the exterior mirrors and a measurement of 2220 millimeters with the mirrors unfolded. Motorization: petrol and  petrol plug-in hybrid. The plug-in hybrid model is called Flying Spur Hybrid and has a boot space of 351* liters. Because of its exclusivity and high-end performance, we classify the Bentley Flying Spur in the category of luxury cars. This model from the year 2020 is 17 mm longer, 6 mm narrower and has the same height compared to the dimensions of the 2013 Bentley Flying Spur.Do you like the trend of larger cars? 👍 👎",Boot space: 351* - 420 liters.
131,"The Rolls-Royce Spectre has a length of 5453 mm, a height of 1559 mm, a width of 2080 mm without the exterior mirrors and a measurement of 2220 millimeters with the mirrors unfolded. Motorization: electric. Because of its exclusivity and high-end performance, we classify the Rolls-Royce Spectre in the category of luxury cars.Do you like the trend of larger cars? 👍 👎",Boot space:  liters.
132,"The Rolls-Royce Ghost has a length of 5546 mm, a height of 1571 mm and a width of 2148 mm without the exterior mirrors. Motorization: petrol. Because of its exclusivity and high-end performance, we classify the Rolls-Royce Ghost in the category of luxury cars.Do you like the trend of larger cars? 👍 👎",Boot space:  liters.
133,"The Rolls-Royce Phantom has a length of 5762 mm, a height of 1646 mm and a width of 2018 mm without the exterior mirrors. Motorization: petrol. Because of its exclusivity and high-end performance, we classify the Rolls-Royce Phantom in the category of luxury cars.Do you like the trend of larger cars? 👍 👎",Boot space: 548 liters.
134,"The Mazda MX-5 has a length of 3915 mm, a height of 1230 mm and a width of 1735 mm without the exterior mirrors. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Mazda MX-5 in the category of sports cars. This model from the year 2019 is the same size compared to the dimensions of the 2015 Mazda MX-5.Do you like the trend of larger cars? 👍 👎",Boot space: 130 liters.
135,"The Alpine A110 has a length of 4181 mm, a height of 1252 mm, a width of 1798 mm without the exterior mirrors and a measurement of 1980 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Alpine A110 in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space: 196 liters.
136,"The Audi TT Coupe has a length of 4191 mm, a height of 1353 mm, a width of 1832 mm without the exterior mirrors and a measurement of 1966 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Audi TT Coupe in the category of sports cars. This model from the year 2019 is the same size compared to the dimensions of the 2014 Audi TT Coupe.Do you like the trend of larger cars? 👍 👎",Boot space: 305 liters.
137,"The Subaru BRZ has a length of 4265 mm, a height of 1310 mm, a width of 1775 mm without the exterior mirrors and a measurement of 2000 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Subaru BRZ in the category of sports cars. This model from the year 2023 is 25 mm longer, has the same width and 10 mm lower compared to the dimensions of the 2017 Subaru BRZ.Do you like the trend of larger cars? 👍 👎",Boot space: 237 liters.
138,"The Toyota GR86 has a length of 4265 mm, a height of 1310 mm and a width of 1775 mm without the exterior mirrors. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Toyota GR86 in the category of sports cars. This model from the year 2022 is 25 mm longer, has the same width and 25 mm higher compared to the dimensions of the 2016 Toyota GT86.Do you like the trend of larger cars? 👍 👎",Boot space: 226 liters.
139,"The BMW Z4 has a length of 4324 mm, a height of 1304 mm, a width of 1864 mm without the exterior mirrors and a measurement of 2024 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the BMW Z4 in the category of sports cars. This model from the year 2019  stands out for being 85 mm longer compared to the dimensions of the 2009 BMW Z4.Do you like the new generation size change? 👍 👎",Boot space: 281 liters.
140,"The Toyota GR Supra has a length of 4379 mm, a height of 1292 mm and a width of 1854 mm without the exterior mirrors. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Toyota GR Supra in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space: 290 liters.
141,"The Porsche 718 Boxster has a length of 4379 mm, a height of 1281 mm, a width of 1801 mm without the exterior mirrors and a measurement of 1978 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Porsche 718 Boxster in the category of sports cars. This model from the year 2016 is the same size compared to the dimensions of the 2012 Porsche Boxster.Do you like the trend of larger cars? 👍 👎",Boot space: 280 liters.
142,"The Porsche 718 Cayman has a length of 4379 mm, a height of 1295 mm, a width of 1801 mm without the exterior mirrors and a measurement of 1978 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Porsche 718 Cayman in the category of sports cars. This model from the year 2016 is the same size compared to the dimensions of the 2013 Porsche Cayman.Do you like the trend of larger cars? 👍 👎",Boot space: 425 liters.
143,"The Audi R8 Coupe has a length of 4429 mm, a height of 1236 mm, a width of 1940 mm without the exterior mirrors and a measurement of 2037 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Audi R8 Coupe in the category of sports cars. This model from the year 2019 is the same size compared to the dimensions of the 2015 Audi R8 Coupe.Do you like the trend of larger cars? 👍 👎",Boot space: 112 liters.
144,"The Aston-Martin Vantage Coupe has a length of 4465 mm, a height of 1273 mm, a width of 1942 mm without the exterior mirrors and a measurement of 2153 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Aston-Martin Vantage Coupe in the category of sports cars. This model from the year 2018  stands out for being 80 mm longer compared to the dimensions of the 2008 Aston-Martin V8 Vantage Coupe.Do you like the new generation size change? 👍 👎",Boot space: 350 liters.
145,"The Jaguar F-TYPE Coupe has a length of 4470 mm, a height of 1311 mm, a width of 1923 mm without the exterior mirrors and a measurement of 2042 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Jaguar F-TYPE Coupe in the category of sports cars. This model from the year 2020 is the same size compared to the dimensions of the 2017 Jaguar F-TYPE Coupe.Do you like the trend of larger cars? 👍 👎",Boot space: 336 liters.
146,"The Porsche 911 Carrera has a length of 4519 mm, a height of 1298 mm, a width of 1852 mm without the exterior mirrors and a measurement of 2024 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Porsche 911 Carrera in the category of sports cars. This model from the year 2019 is 20 mm longer, 44 mm wider and has the same height compared to the dimensions of the 2016 Porsche 911 Carrera.Do you like the new generation size change? 👍 👎",Boot space: 132 liters.
147,"The Lamborghini Huracán EVO has a length of 4520 mm, a height of 1165 mm, a width of 1924 mm without the exterior mirrors and a measurement of 2236 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Lamborghini Huracán EVO in the category of sports cars. This model from the year 2019  stands out for being 61 mm longer compared to the dimensions of the 2014 Lamborghini Huracán Coupé.Do you like the new generation size change? 👍 👎",Boot space: 100 liters.
148,"The McLaren Artura has a length of 4539 mm, a height of 1193 mm, a width of 1913 mm without the exterior mirrors and a measurement of 2080 millimeters with the mirrors unfolded. Motorization: petrol plug-in hybrid. Because of its high performance mechanics and low height, we classify the McLaren Artura in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space: 160 liters.
149,"The McLaren 720S has a length of 4543 mm, a height of 1196 mm, a width of 1930 mm without the exterior mirrors and a measurement of 2161 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the McLaren 720S in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space: 360 liters.
150,"The Lamborghini Huracán STO has a length of 4549 mm, a height of 1220 mm, a width of 1945 mm without the exterior mirrors and a measurement of 2236 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Lamborghini Huracán STO in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space: 38 liters.
151,"The Ferrari 296 GTB has a length of 4565 mm, a height of 1187 mm and a width of 1958 mm without the exterior mirrors. Motorization: petrol plug-in hybrid. Because of its high performance mechanics and low height, we classify the Ferrari 296 GTB in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space:  liters.
152,"The Ferrari Portofino M has a length of 4594 mm, a height of 1318 mm and a width of 1938 mm without the exterior mirrors. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Ferrari Portofino M in the category of sports cars. This model from the year 2021 is the same size compared to the dimensions of the 2018 Ferrari Portofino.Do you like the trend of larger cars? 👍 👎",Boot space: 292 liters.
153,"The McLaren 765LT has a length of 4600 mm, a height of 1159 mm, a width of 1930 mm without the exterior mirrors and a measurement of 2161 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the McLaren 765LT in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space: 360 liters.
154,"The Ferrari F8 Tributo has a length of 4611 mm, a height of 1206 mm and a width of 1979 mm without the exterior mirrors. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Ferrari F8 Tributo in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space: 200 liters.
155,"The Chevrolet Corvette has a length of 4630 mm, a height of 1235 mm and a width of 1933 mm without the exterior mirrors. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Chevrolet Corvette in the category of sports cars. This model from the year 2020  stands out for being 138 mm longer compared to the dimensions of the 2014 Chevrolet Corvette.Do you like the new generation size change? 👍 👎",Boot space: 356 liters.
156,"The Ferrari Roma has a length of 4656 mm, a height of 1301 mm and a width of 1974 mm without the exterior mirrors. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Ferrari Roma in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space: 272 liters.
157,"The Maserati MC20 has a length of 4669 mm, a height of 1224 mm, a width of 1965 mm without the exterior mirrors and a measurement of 2178 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Maserati MC20 in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space: 150 liters.
158,"The McLaren GT has a length of 4683 mm, a height of 1213 mm, a width of 1930 mm without the exterior mirrors and a measurement of 2095 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the McLaren GT in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space: 570 liters.
159,"The Ferrari SF90 Stradale has a length of 4710 mm, a height of 1186 mm and a width of 1972 mm without the exterior mirrors. Motorization: petrol plug-in hybrid. Because of its high performance mechanics and low height, we classify the Ferrari SF90 Stradale in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space: 74 liters.
160,"The Aston-Martin DBS has a length of 4712 mm, a height of 1280 mm, a width of 1969 mm without the exterior mirrors and a measurement of 2146 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Aston-Martin DBS in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space: 270 liters.
161,"The Aston-Martin DB11 has a length of 4739 mm, a height of 1279 mm, a width of 1940 mm without the exterior mirrors and a measurement of 2060 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Aston-Martin DB11 in the category of sports cars. This model from the year 2017 is 19 mm longer, 60 mm wider and has the same height compared to the dimensions of the 2013 Aston-Martin DB9.Do you like the new generation size change? 👍 👎",Boot space: 270 liters.
162,"The Lexus LC has a length of 4770 mm, a height of 1345 mm and a width of 1920 mm without the exterior mirrors. Motorization: petrol and  petrol hybrid. Because of its high performance mechanics and low height, we classify the Lexus LC in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space: 197 liters.
163,"The Ford Mustang has a length of 4784 mm, a height of 1381 mm, a width of 1916 mm without the exterior mirrors and a measurement of 2080 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Ford Mustang in the category of sports cars. This model from the year 2018 is the same size compared to the dimensions of the 2015 Ford Mustang.Do you like the trend of larger cars? 👍 👎",Boot space: 408 liters.
164,"The Bentley Continental GT has a length of 4850 mm, a height of 1405 mm, a width of 1966 mm without the exterior mirrors and a measurement of 2187 millimeters with the mirrors unfolded. Motorization: petrol. Because of its high performance mechanics and low height, we classify the Bentley Continental GT in the category of sports cars. This model from the year 2018 is 32 mm longer, 19 mm wider and has the same height compared to the dimensions of the 2015 Bentley Continental GT.Do you like the new generation size change? 👍 👎",Boot space: 358 liters.
165,"The Lamborghini Revuelto has a length of 4947 mm, a height of 1160 mm, a width of 2033 mm without the exterior mirrors and a measurement of 2266 millimeters with the mirrors unfolded. Motorization: petrol plug-in hybrid. Because of its high performance mechanics and low height, we classify the Lamborghini Revuelto in the category of sports cars.Do you like the trend of larger cars? 👍 👎",Boot space:  liters.
166,"The Maserati GranTurismo has a length of 4959 mm, a height of 1353 mm and a width of 1957 mm without the exterior mirrors. Motorization: petrol and  electric. The electric model is called GranTurismo Folgore and has a boot space of 270* liters. Because of its high performance mechanics and low height, we classify the Maserati GranTurismo in the category of sports cars. This model from the year 2023 is 39 mm longer, 42 mm wider and has the same height compared to the dimensions of the 2018 Maserati GranTurismo.Do you like the new generation size change? 👍 👎",Boot space: 270* - 310 liters.
167,"The Fiat Tipo SW has a length of 4571 mm, a height of 1514 mm, a width of 1792 mm without the exterior mirrors and a measurement of 2002 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  petrol mild hybrid. Because of its versatility and larger rear space, we classify the Fiat Tipo SW in the category of estate cars. This model from the year 2021 is the same size compared to the dimensions of the 2016 Fiat Tipo SW.Do you like the trend of larger cars? 👍 👎",Boot space: 550 liters.
168,"The Hyundai i30 SW has a length of 4585 mm, a height of 1475 mm and a width of 1795 mm without the exterior mirrors. Motorization: diesel,  petrol,  diesel mild hybrid and  petrol mild hybrid. The mild hybrid model is called i30 SW 48V. Because of its versatility and larger rear space, we classify the Hyundai i30 SW in the category of estate cars. This model from the year 2020 is the same size compared to the dimensions of the 2017 Hyundai i30 SW.Do you like the trend of larger cars? 👍 👎",Boot space: 602 liters.
